title,image,description
"Alexandre Cammas, le guide suprême du Fooding",https://img.lemde.fr/2020/12/07/193/0/1004/669/110/74/60/0/e26ab5d_75297-3200307.jpg,
Joe Biden et Kamala Harris désignés personnalités de l’année par « Time »,https://img.lemde.fr/2020/12/11/37/0/5000/3333/110/74/60/0/79f9927_5856161-01-06.jpg,
Football et droits audiovisuels : Mediapro est prêt à abandonner la diffusion mais pose des conditions,https://img.lemde.fr/2020/12/11/0/0/5428/3619/110/74/60/0/467d957_621424166-000-8pw474.jpg,
Le commentateur sportif Stéphane Guy mis à pied par Canal+ pour son soutien à Sébastien Thoen,https://img.lemde.fr/2020/12/10/0/1/3304/2203/110/74/60/0/eb7d854_604722817-canal-football-club-cfc.jpg,
« Society » va adapter en série son enquête à succès sur Xavier Dupont de Ligonnès,https://img.lemde.fr/2020/08/09/115/0/361/240/110/74/60/0/ee2493a_487520421-society-1.jpg,
"« Si je peux le faire, vous aussi en êtes capables » : la lycéenne américaine Gitanjali Rao désignée « enfant de l’année » par « Time »",https://img.lemde.fr/2020/12/04/100/0/2251/1493/110/74/60/0/8fc2ad7_9ac5f77cb18749f585e0027d4cd2476f-9ac5f77cb18749f585e0027d4cd2476f-0.jpg,
Franceinfo préfère perdre « des minutes » que la « confiance » des auditeurs,https://img.lemde.fr/2020/12/09/0/0/5505/3670/110/74/60/0/2a266ad_518837486-francinfo.jpg,
La chaîne suisse RTS fait l’inventaire de ses pratiques sexistes,https://img.lemde.fr/2020/12/01/0/0/1500/1000/110/74/60/0/1ac0fd6_74087-3199759.jpg,
Le prix Albert-Londres 2020 décerné au journaliste du « Monde » Allan Kaval pour ses reportages en Syrie,https://img.lemde.fr/2020/12/04/536/0/3000/2000/110/74/60/0/eeb4a28_928524061-allan1.jpg,
Article 24 de la loi « sécurité globale » : Reporters sans frontières accusé d’attentisme,https://img.lemde.fr/2020/12/04/0/26/5464/3643/110/74/60/0/76739f2_299185999-deloire.jpg,
« Jeune Afrique » va se séparer d’environ 15 % de ses effectifs,https://img.lemde.fr/2020/12/04/0/0/4473/2982/110/74/60/0/fe561c1_331651245-000-187968.jpg,
La « cancel culture » rattrape une journaliste britannique,https://img.lemde.fr/2020/12/01/0/0/1500/1000/110/74/60/0/3dad643_74161-3199383.jpg,
"En Algérie, levée du blocage de certains médias en ligne",https://img.lemde.fr/2020/12/04/0/4/4920/3280/110/74/60/0/8401fc7_595245166-000-1fn8wv.jpg,
Les journalistes de l’audiovisuel dénoncent une dérive menaçante pour la liberté d’informer,https://img.lemde.fr/2020/12/03/1591/0/3744/2492/110/74/60/0/2851275_528741250-cash-investigation.jpg,
Une enquête en 3D sur les explosions du port de Beyrouth,https://img.lemde.fr/2020/11/30/0/48/1404/936/110/74/60/0/2058052_74015-3199618.jpg,
"Radio France s’associe à l’INA, Arte, RFI et France Télévisions dans les podcasts",https://img.lemde.fr/2020/12/02/0/12/2964/1976/110/74/60/0/fe8639f_292143731-000-arp1612958.jpg,
"Leon Wieseltier : « Aux Etats-Unis, la liberté d’expression est dans un triste état »",https://img.lemde.fr/2020/12/02/580/0/3600/2398/110/74/60/0/ae78546_886977965-leon-wieseltier-print.jpg,
"« Je fais le métier de ma vie » : Rémy Buisine, l’image à l’état brut",https://img.lemde.fr/2020/12/01/0/0/1500/1000/110/74/60/0/9634eae_74079-3199812.jpg,
La rédaction de « Science & Vie » défie sa direction,https://img.lemde.fr/2020/12/01/0/0/5487/3658/110/74/60/0/7d7736b_736780076-000-1a42qm.jpg,
Dialogue avec la rédaction du « Monde » en visioconférence du 14 au 17 décembre,https://img.lemde.fr/2020/12/01/0/0/4999/3333/110/74/60/0/a0ed371_261841-2020-12-01.jpg,
"« Pour chaque journaliste menacé avec violence en Europe, cent autres sont réduits au silence par des lettres provenant d’avocats »",https://img.lemde.fr/2020/11/25/298/0/4500/3000/110/74/60/0/3c985aa_350560794-pns-3741349.jpg,
"Jean-Louis Servan-Schreiber, ancien patron de « L’Expansion » et de « Psychologies Magazine », est mort",https://img.lemde.fr/2020/11/30/388/0/2722/1812/110/74/60/0/4eed8dc_109172385-000-par3615981.jpg,
Mort du patron de presse Jean-Louis Servan-Schreiber à 83 ans,https://img.lemde.fr/2020/11/29/0/0/3516/2344/110/74/60/0/d37b5de_5792084-01-06.jpg,
"En tête de la fronde contre la loi « sécurité globale », des journalistes nés au cœur des mouvements sociaux",https://img.lemde.fr/2020/11/28/0/4/4920/3280/110/74/60/0/201acc6_838222495-000-m19p0.jpg,
L’humoriste Sébastien Thoen licencié de Canal+ après un sketch parodiant l’émission de Pascal Praud,https://img.lemde.fr/2020/11/27/0/0/3307/2204/110/74/60/0/f083e79_458124777-le-journal-du-hard-jdh.jpg,
Le gouvernement instaure une commission pour « une nouvelle écriture » de l’article 24 de la loi « sécurité globale »,https://img.lemde.fr/2020/11/21/1/0/4469/2979/110/74/60/0/e914b42_5751662-01-06.jpg,
"Des sociétés de journalistes à Jean Castex : « Monsieur le premier ministre, il y a urgence à sortir de cette spirale délétère pour la démocratie »",https://img.lemde.fr/2020/11/24/0/3/3139/2093/110/74/60/0/124fda2_gfm102-france-security-police-video-1124-11.JPG,
« La proposition de loi sur la sécurité globale suscite une inquiétude profonde et légitime de la part des médias et des journalistes »,https://img.lemde.fr/2020/11/21/0/0/2048/1365/110/74/60/0/d5d6c1a_566111729-su5a0976.JPG,
Les écoles de commerce poussées dans les bras des fonds d’investissement,https://img.lemde.fr/2020/11/16/1358/0/3543/2362/110/74/60/0/d4aa0a7_14691972-pns-3897503-2.jpg,
